# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	50750
#@/user_id	sync_config
bu ran 	不然	c=1 d=1.31193e-47 t=50750
bu rong yi 	不容易	c=1 d=5.7337e-16 t=50750
bu ru 	不入	c=1 d=1.18684e-74 t=50750
bu ru liu 	不入流	c=1 d=1.20478e-74 t=50750
bu shang 	不上	c=2 d=6.8989e-16 t=50750
bu sheng 	不生	c=0 d=4.96062e-19 t=50750
bu sheng xiao 	不生效	c=7 d=3.2984e-11 t=50750
bu shi 	不是	c=69 d=0.0380874 t=50750
bu shi de 	不是的	c=1 d=3.84525e-51 t=50750
bu shu 	部屬	c=3 d=6.39554e-06 t=50750
bu shu 	部署	c=37 d=0.554333 t=50750
bu shu fu 	不舒服	c=1 d=0.767206 t=50750
bu suan 	不算	c=1 d=1.51191e-69 t=50750
bu tai 	不太	c=13 d=0.324652 t=50750
bu tai fu he 	不太符合	c=1 d=1.84194e-39 t=50750
bu tai hao 	不太好	c=6 d=0.130029 t=50750
bu tie 	補貼	c=1 d=1.62893e-05 t=50750
bu tong 	不同	c=3 d=4.10852e-36 t=50750
bu tong 	不通	c=2 d=1.39993e-91 t=50750
bu tong guo 	不通過	c=3 d=1.13157e-13 t=50750
bu wei 	不爲	c=2 d=1.37165e-30 t=50750
bu wei kong 	不爲空	c=1 d=7.74446e-82 t=50750
bu xian shi 	不顯示	c=8 d=3.50236e-11 t=50750
bu xiang 	不想	c=3 d=0.217621 t=50750
bu xing 	不行	c=13 d=0.574899 t=50750
bu xu 	不許	c=1 d=2.81846e-14 t=50750
bu xu yao 	不需要	c=7 d=1.87808e-08 t=50750
bu yan zhong 	不嚴重	c=1 d=3.73364e-28 t=50750
bu yao 	不要	c=28 d=0.0496391 t=50750
bu yao bei 	不要被	c=1 d=1.64487e-90 t=50750
bu yi ding 	不一定	c=1 d=2.68457e-59 t=50750
bu yi yang 	不一樣	c=11 d=9.50625e-08 t=50750
bu yi zhi 	不一致	c=2 d=3.92573e-30 t=50750
bu ying 	不應	c=1 d=1.31171e-45 t=50750
bu ying gai 	不應該	c=1 d=2.28764e-59 t=50750
bu ying xiang 	不影響	c=1 d=6.00233e-84 t=50750
bu yong 	不用	c=37 d=0.751748 t=50750
bu yong hao 	不用好	c=1 d=1.18648e-41 t=50750
bu yong la 	不用啦	c=2 d=2.1081e-68 t=50750
bu zai 	不再	c=1 d=8.08878e-35 t=50750
bu zai 	不在	c=5 d=0.144424 t=50750
bu zen me 	不怎麼	c=2 d=0.00612731 t=50750
bu zheng que 	不正確	c=1 d=5.87347e-64 t=50750
bu zhi 	不值	c=1 d=2.12415e-69 t=50750
bu zhi 	不止	c=1 d=6.06285e-55 t=50750
bu zhi 	不知	c=3 d=1.22305e-25 t=50750
bu zhi chi 	不支持	c=6 d=1.44241e-17 t=50750
bu zhi dao 	不知道	c=34 d=0.0496155 t=50750
bu zhi dao a 	不知道啊	c=1 d=3.50094e-65 t=50750
bu zhi shi 	不只是	c=1 d=1.36473e-70 t=50750
bu zhi shi 	不止是	c=1 d=7.61514e-31 t=50750
bu zhong 	不中	c=1 d=4.36258e-36 t=50750
bu zhu 	不住	c=1 d=1.90749e-68 t=50750
bu zhuan fa 	不轉發	c=1 d=2.75778e-52 t=50750
bu zu 	不足	c=2 d=2.85184e-14 t=50750
bu zuo 	不做	c=2 d=6.36592e-39 t=50750
cai 	才	c=6 d=1.6453e-06 t=50750
cai 	猜	c=2 d=2.77396e-62 t=50750
cai 	菜	c=13 d=0.000139144 t=50750
cai an pai 	才安排	c=1 d=1.65355e-05 t=50750
cai dan 	菜單	c=11 d=7.59418e-28 t=50750
cai fa xian 	纔發現	c=1 d=1.1887e-63 t=50750
cai hui 	纔會	c=7 d=1.06219e-06 t=50750
cai kai 	纔開	c=1 d=5.40698e-61 t=50750
cai ke yi 	纔可以	c=1 d=8.31758e-69 t=50750
cai neng 	才能	c=44 d=0.172597 t=50750
cai pin 	菜品	c=8 d=5.05355e-13 t=50750
cai shi 	纔是	c=2 d=2.00153e-46 t=50750
cai shou dao 	才收到	c=1 d=8.59015e-66 t=50750
cai shuo 	纔說	c=1 d=2.14265e-24 t=50750
cai wu 	財務	c=1 d=8.09731e-18 t=50750
cai xing 	才行	c=8 d=1.02336e-07 t=50750
cai you 	纔有	c=1 d=8.61532e-71 t=50750
cai zhan shi 	才展示	c=1 d=3.6622e-36 t=50750
cai zhi dao 	纔知道	c=1 d=6.17566e-66 t=50750
can 	參	c=1 d=1.42832e-47 t=50750
can 	餐	c=6 d=2.42227e-05 t=50750
can hui 	參會	c=1 d=2.00774e-53 t=50750
can jia 	參加	c=3 d=3.65659e-18 t=50750
can kao 	參考	c=11 d=7.41115e-05 t=50750
can shu 	參數	c=100 d=0.00634392 t=50750
can ting 	餐廳	c=2 d=3.13816e-13 t=50750
can yin 	餐飲	c=1 d=5.98213e-15 t=50750
can yu 	參與	c=8 d=3.79926e-23 t=50750
cang 	倉	c=5 d=2.18178e-61 t=50750
cang ku 	倉庫	c=22 d=0.000128485 t=50750
cao 	草	c=2 d=1.35092e-68 t=50750
cao liao 	草料	c=7 d=6.01928e-29 t=50750
cao zuo 	操作	c=45 d=0.00349978 t=50750
cao zuo fu 	操作符	c=1 d=0.00332928 t=50750
cao zuo yuan 	操作員	c=3 d=1.13649e-43 t=50750
ce 	冊	c=0 d=1.41391e-17 t=50750
ce 	測	c=8 d=4.24474e-08 t=50750
ce guo 	測過	c=1 d=3.14994e-28 t=50750
ce shi 	測試	c=237 d=1.00202 t=50750
ce shi ban 	測試版	c=1 d=0.00124951 t=50750
ce shi bao 	测试包	c=1 d=2.76436e-80 t=50750
